id,words,flesh
0,,22,43.386363636363626
1,,30,63.95
2,,20,59.07500000000002
3,,23,59.45652173913042
4,,14,57.821428571428555
5,,88,40.72727272727272
6,,38,68.15789473684211
7,,27,85.83333333333333
8,,16,69.3125
9,,10,44.45000000000002
10,,9,49
11,,31,69.5483870967742
12,,40,59.07500000000002
13,,12,47.375
14,,8,62
15,,14,62
16,,10,62
17,,21,62
18,,32,65.65625
19,,27,72.83333333333333
20,,14,41.10714285714286
21,,38,43.52631578947367
22,,10,38.599999999999994
23,,15,85.39999999999999
24,,22,64.6590909090909
25,,25,26.900000000000006
26,,22,72.63636363636364
27,,15,30.80000000000001
28,,11,14.136363636363626
29,,18,26.25
30,,18,68.5
31,,17,41.35294117647058
32,,8,47.375
33,,17,48.235294117647044
34,,16,21.78125
35,,10,67.85000000000001
36,,26,66.5
37,,18,78.25
38,,16,21.78125
39,,35,60.328571428571436
40,,17,79.20588235294117
41,,30,71.75
42,,24,88.8125
43,,18,75
44,,12,47.375
45,,10,44.45000000000002
46,,16,25.4375
47,,19,52.763157894736835
48,,14,53.64285714285715
49,,22,77.95454545454545
50,,17,72.32352941176471
51,,11,46.04545454545453
52,,14,49.464285714285694
53,,20,56.14999999999999
54,,1,120.5
55,,18,36
56,,15,50.29999999999998
57,,19,52.763157894736835
58,,16,43.71875
59,,32,72.96875
60,,19,62
61,,27,72.83333333333333
62,,17,37.91176470588235
63,,16,47.375
64,,15,54.2
65,,19,68.15789473684211
66,,10,67.85000000000001
67,,8,76.625
68,,12,66.875
69,,28,64.08928571428572
70,,18,32.75
71,,10,73.7
72,,10,44.45000000000002
73,,11,30.090909090909093
74,,28,24.39285714285714
75,,13,35
76,,37,38.283783783783804
77,,20,59.07500000000002
78,,18,101
79,,13,35
80,,19,40.44736842105263
81,,20,76.625
82,,16,47.375
83,,20,35.67499999999998
84,,22,24.77272727272728
85,,21,64.78571428571429
86,,24,40.0625
87,,27,40.33333333333334
88,,18,45.75
89,,25,45.620000000000005
90,,21,36.928571428571445
91,,2,91.25
92,,10,32.75
93,,43,53.83720930232559
94,,20,70.77499999999999
95,,20,50.29999999999998
96,,22,59.34090909090909
97,,34,48.235294117647044
98,,24,74.1875
99,,30,62
100,,9,55.5
101,,13,26
102,,20,50.29999999999998
103,,7,20.214285714285694
104,,24,52.250000000000014
105,,14,41.10714285714286
106,,25,62
107,,16,7.15625
108,,13,30.5
109,,19,40.44736842105263
110,,12,66.875
111,,10,26.900000000000006
112,,31,56.33870967741936
113,,17,48.235294117647044
114,,18,26.25
115,,14,7.678571428571445
116,,25,54.97999999999999
117,,17,37.91176470588235
118,,18,58.750000000000014
119,,13,57.499999999999986
120,,19,71.23684210526316
121,,12,71.75
122,,24,57.124999999999986
123,,15,42.5
124,,24,66.875
125,,24,52.250000000000014
126,,21,59.21428571428572
127,,24,37.625
128,,28,45.285714285714306
129,,22,96.56818181818181
130,,23,77.26086956521739
131,,21,84.28571428571428
132,,15,73.7
133,,53,56.48113207547169
134,,35,45.285714285714306
135,,19,83.55263157894737
136,,11,30.090909090909093
137,,39,56
138,,32,56.515625
139,,21,64.78571428571429
140,,29,70.06896551724138
141,,15,65.9
142,,15,77.6
143,,7,20.214285714285694
144,,22,80.61363636363636
145,,26,46.25
146,,36,73.375
147,,10,62
148,,4,91.25
149,,19,40.44736842105263
150,,18,58.750000000000014
151,,8,69.3125
152,,18,36
153,,18,49
154,,16,25.4375
155,,8,47.375
156,,15,38.599999999999994
157,,18,49
158,,15,42.5
159,,8,25.4375
160,,11,46.04545454545453
161,,6,13.25
162,,10,26.900000000000006
163,,15,34.69999999999999
164,,24,74.1875
165,,14,62
166,,15,50.29999999999998
167,,14,-4.857142857142861
168,,15,19.099999999999994
169,,11,67.31818181818181
170,,14,28.571428571428555
171,,23,39.10869565217391
172,,19,62
173,,37,63.58108108108108
174,,19,37.36842105263159
175,,10,67.85000000000001
176,,14,87.07142857142857
177,,23,95.06521739130436
178,,12,76.625
179,,23,64.54347826086956
180,,25,54.97999999999999
181,,30,40.55000000000001
182,,28,68.26785714285715
183,,17,58.55882352941178
184,,19,55.842105263157904
185,,24,35.1875
186,,19,49.68421052631578
187,,20,53.22500000000001
188,,25,26.900000000000006
189,,18,32.75
190,,14,62
191,,25,52.639999999999986
192,,14,32.75
193,,27,64.16666666666666
194,,19,74.3157894736842
195,,13,17
196,,9,42.5
197,,39,56
198,,2,120.5
199,,333,61.12162162162163
200,,10,32.75
201,,14,57.821428571428555
202,,23,72.17391304347827
203,,37,60.418918918918905
204,,18,58.750000000000014
205,,56,63.04464285714285
206,,27,62
207,,9,75
208,,11,67.31818181818181
209,,16,83.9375
210,,22,72.63636363636364
211,,31,46.90322580645159
212,,20,59.07500000000002
213,,15,54.2
214,,18,32.75
215,,17,48.235294117647044
216,,30,54.2
217,,21,62
218,,22,27.431818181818187
219,,28,24.39285714285714
220,,20,23.974999999999994
221,,40,54.6875
222,,27,72.83333333333333
223,,24,76.625
224,,41,50.585365853658516
225,,24,69.3125
226,,20,79.55
227,,2,91.25
228,,10,91.25
229,,6,91.25
230,,38,68.15789473684211
231,,21,64.78571428571429
232,,15,34.69999999999999
233,,19,6.578947368421069
234,,22,46.04545454545453
235,,38,48.14473684210526
236,,18,49
237,,32,62
238,,13,62
239,,19,74.3157894736842
240,,16,72.96875
241,,27,83.66666666666667
242,,12,91.25
243,,6,52.250000000000014
244,,66,87.70454545454545
245,,22,46.04545454545453
246,,15,73.7
247,,19,65.07894736842105
248,,14,70.35714285714285
249,,16,87.59375
250,,15,77.6
251,,22,72.63636363636364
252,,8,91.25
253,,24,74.1875
254,,16,76.625
255,,10,73.7
256,,11,62
257,,16,69.3125
258,,19,74.3157894736842
259,,9,68.5
260,,26,57.499999999999986
261,,16,62
262,,43,78.32558139534883
263,,28,59.91071428571429
264,,15,73.7
265,,7,45.285714285714306
266,,22,83.27272727272727
267,,10,102.95
268,,16,76.625
269,,44,71.30681818181819
270,,53,57.58490566037736
271,,14,57.821428571428555
272,,13,71
273,,16,65.65625
274,,21,45.285714285714306
275,,21,45.285714285714306
276,,18,71.75
277,,34,53.39705882352942
278,,19,77.39473684210526
279,,10,91.25
280,,16,65.65625
281,,8,83.9375
282,,22,64.6590909090909
283,,11,62
284,,40,60.53750000000001
285,,13,80
286,,12,62
287,,15,62
288,,16,43.71875
289,,19,43.52631578947367
290,,23,59.45652173913042
291,,13,48.5
292,,14,57.821428571428555
293,,16,58.34375
294,,30,38.599999999999994
295,,21,70.35714285714285
296,,28,55.73214285714285
297,,10,67.85000000000001
298,,27,83.66666666666667
299,,20,32.75
300,,7,78.71428571428572
301,,17,58.55882352941178
302,,25,76.04
303,,14,70.35714285714285
304,,58,72.08620689655172
305,,35,85.39999999999999
306,,2,120.5
307,,15,85.39999999999999
308,,18,104.25
309,,13,102.5
310,,17,89.52941176470588
311,,19,58.92105263157893
312,,13,80
313,,17,62
314,,19,62
315,,47,91.87234042553192
316,,10,50.29999999999998
317,,23,79.80434782608695
318,,13,80
319,,11,88.5909090909091
320,,15,89.3
321,,12,62
322,,18,78.25
323,,8,25.4375
324,,12,71.75
325,,11,62
326,,10,67.85000000000001
327,,21,78.71428571428572
328,,36,71.75
329,,16,51.03125
330,,36,83.125
331,,17,68.88235294117648
332,,8,83.9375
333,,9,81.5
334,,22,59.34090909090909
335,,24,69.3125
336,,17,48.235294117647044
337,,26,62
338,,28,78.71428571428572
339,,17,58.55882352941178
340,,29,82.17241379310344
341,,16,65.65625
342,,13,80
343,,16,65.65625
344,,13,44
345,,15,77.6
346,,14,74.53571428571428
347,,18,84.75
348,,13,53
349,,12,57.124999999999986
350,,20,76.625
351,,8,54.6875
352,,31,73.3225806451613
353,,14,66.17857142857143
354,,33,79.72727272727272
355,,18,52.250000000000014
356,,21,70.35714285714285
357,,36,73.375
358,,43,56.55813953488371
359,,28,66.17857142857143
360,,11,72.63636363636364
361,,17,72.32352941176471
362,,28,68.26785714285715
363,,21,50.85714285714283
364,,17,41.35294117647058
365,,14,82.89285714285715
366,,21,70.35714285714285
367,,23,59.45652173913042
368,,12,47.375
369,,15,50.29999999999998
370,,18,29.5
371,,10,50.29999999999998
372,,34,44.79411764705884
373,,28,89.16071428571428
374,,37,90.45945945945945
375,,22,85.93181818181819
376,,54,44.66666666666666
377,,15,42.5
378,,15,69.8
379,,33,47.81818181818184
380,,26,44
381,,17,58.55882352941178
382,,36,78.25
383,,6,62
384,,12,37.625
385,,12,37.625
386,,17,51.676470588235304
387,,14,91.25
388,,11,72.63636363636364
389,,29,66.03448275862068
390,,18,49
391,,7,78.71428571428572
392,,45,75
393,,18,39.25
394,,25,66.68
395,,25,64.34
396,,10,67.85000000000001
397,,8,69.3125
398,,21,64.78571428571429
399,,28,68.26785714285715
400,,11,51.363636363636374
401,,8,-3.8125
402,,53,73.0377358490566
403,,12,47.375
404,,12,66.875
405,,7,70.35714285714285
406,,14,49.464285714285694
407,,26,44
408,,20,44.45000000000002
409,,15,30.80000000000001
410,,130,70.1
411,,50,60.83
412,,15,26.900000000000006
413,,37,90.45945945945945
414,,16,54.6875
415,,13,71
416,,34,46.514705882352956
417,,26,75.5
418,,13,48.5
419,,23,54.3695652173913
420,,27,68.5
421,,12,86.375
422,,19,62
423,,15,69.8
424,,27,33.83333333333334
425,,35,75.37142857142858
426,,11,35.40909090909091
427,,41,60.57317073170732
428,,12,71.75
429,,13,44
430,,26,93.5
431,,16,76.625
432,,24,57.124999999999986
433,,7,62
434,,7,-13.214285714285694
435,,30,65.9
436,,11,77.95454545454545
437,,18,62
438,,11,62
439,,38,83.55263157894737
